iter	MultiClass
0	1.752872
1	1.600810638
2	1.48279102
3	1.394480728
4	1.31684268
5	1.25369733
6	1.198219335
7	1.153512595
8	1.109382559
9	1.068002602
10	1.035732705
11	1.000700235
12	0.9720398593
13	0.9438250462
14	0.9178564597
15	0.8981937117
16	0.8762056516
17	0.8569740198
18	0.8387828338
19	0.8234372389
20	0.8094287772
21	0.7954640881
22	0.7825992315
23	0.7715875061
24	0.7590125898
25	0.7481220475
26	0.7372971182
27	0.7284674055
28	0.7197193221
29	0.7150262609
30	0.7069841769
31	0.7000351554
32	0.6935936877
33	0.6889362539
34	0.6828190857
35	0.6786535973
36	0.6733953388
37	0.6706492447
38	0.6648087023
39	0.6594573935
40	0.6550520343
41	0.6491897616
42	0.6441971597
43	0.6396163301
44	0.636856752
45	0.6319921669
46	0.6292705028
47	0.6271632904
48	0.623687791
49	0.6210721109
50	0.6168657274
51	0.6130339341
52	0.6082847651
53	0.6068164119
54	0.6037869241
55	0.6004895399
56	0.5968122672
57	0.5938845899
58	0.5921575758
59	0.589010129
60	0.5866621728
61	0.5833194322
62	0.5804754498
63	0.5793285994
64	0.576854734
65	0.5745489775
66	0.5720060399
67	0.5695852407
68	0.5671577477
69	0.5639615431
70	0.5615865347
71	0.5581407822
72	0.5558565769
73	0.5531606408
74	0.5510870249
75	0.5498394312
76	0.5488920089
77	0.5479950852
78	0.54624964
79	0.5451742882
80	0.5433216208
81	0.5419156435
82	0.5394052151
83	0.5379566328
84	0.5357243919
85	0.5338978952
86	0.5326644341
87	0.5315547634
88	0.5297158635
89	0.5282597183
90	0.5269074018
91	0.5254595481
92	0.5242381182
93	0.5226262398
94	0.5212038702
95	0.5203096515
96	0.5182358682
97	0.5169054998
98	0.5152396805
99	0.5135573418
100	0.5126131174
101	0.5107142982
102	0.5079020239
103	0.5067339296
104	0.50609992
105	0.5050542805
106	0.5035848317
107	0.5015189487
108	0.5005822505
109	0.4985201937
110	0.4969202482
111	0.4954509452
112	0.4947179943
113	0.4930497999
114	0.4912045579
115	0.4898642275
116	0.4884672704
117	0.4869339468
118	0.4852593701
119	0.4844858157
120	0.482665749
121	0.4817197847
122	0.4804332749
123	0.4790988418
124	0.4772527962
125	0.4759514944
126	0.4748552724
127	0.4739220026
128	0.4729224186
129	0.4716807602
130	0.4708594452
131	0.4693696043
132	0.4680298839
133	0.4665480068
134	0.4654332928
135	0.4644471689
136	0.463397022
137	0.4624165968
138	0.4614345269
139	0.4602749908
140	0.459091958
141	0.458292969
142	0.4571202061
143	0.4559425538
144	0.455396448
145	0.4540043985
146	0.4522801284
147	0.4516057926
148	0.4502149851
149	0.4489767602
150	0.4479281616
151	0.4466369615
152	0.4451963755
153	0.444122485
154	0.4430300293
155	0.4417984065
156	0.4409005897
157	0.4394047962
158	0.4381830975
159	0.437657684
160	0.4373464296
161	0.4361717565
162	0.4353206539
163	0.4341184095
164	0.4329804254
165	0.4319872688
166	0.4304783468
167	0.4298103246
168	0.4282990358
169	0.4277996922
170	0.4270518593
171	0.4259059826
172	0.4249464523
173	0.4239709528
174	0.4233271891
175	0.4225112534
176	0.4213808247
177	0.4207315977
